,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
34,Cameron Johnson,johnsca02,2023,2765,1351,1.242957001473138,2.506521330870682,3.74947833234382,0.4444849897356661,2.386576613296957,2.831061603032623,1.15478528743855,2.620098400092022,3.774883687530572,4.505169426942662,4.124683894037131,0.3804855329055308,1.169456531851582,2.655224402462208,3.82468093431379,0.23977454915223
35,Nikola Jokic,jokicni01,2023,6435,3112,8.961393288271756,4.30838638768088,13.26977967595263,9.417504461822254,0.2839839295057836,9.701488391328038,9.522495986187511,3.696240245687855,13.21873623187537,25.86718648785184,20.31095212097658,5.556234366875252,9.328425889582691,3.641945092737122,12.97037098231982,1.533881008637738
36,Derrick Jones Jr.,jonesde02,2023,1888,893,-0.7091640525299547,1.092181392149802,0.3830173396198469,0.60295366632772,3.048778084289931,3.651731750617651,-0.4530371971039489,1.533537009489524,1.080499812385575,1.741913803925712,1.741913803925712,0.0,-1.196411220865361,0.6662074133585578,-0.5302038075068027,-0.1905573580735187
37,Walker Kessler,kesslwa01,2023,3600,1703,0.0606352228889208,3.22984246663515,3.29047768952407,1.281267967350117,1.459565832426797,2.740833799776915,0.2974563341517061,3.097932798477111,3.395389132628818,5.313597148737087,5.313597148737087,0.0,-0.2984101811408309,2.155691611747535,1.857281430606704,-0.4905499261949508
38,Luke Kornet,kornelu01,2023,1760,836,-0.235121197779927,2.243948773269774,2.008827575489847,-0.4782325198615047,1.275266011865615,0.7970334920041108,-0.337332755194334,2.128805092477912,1.791472337283578,1.933036626144841,1.761445460815936,0.1715911653289046,-0.6135302296136059,1.38746294954606,0.7739327199324537,-0.5841165209959233
39,Kawhi Leonard,leonaka01,2023,3760,1828,4.558913298892431,1.73187240071416,6.290785699606592,4.912047184610595,1.886975177130337,6.799022361740931,4.906030983658898,1.865048205727771,6.771079189386669,8.84428754524527,8.450784505397714,0.393503039847558,4.524804706734172,1.777308414729403,6.302113121463575,-0.5398000930545069
40,Kevon Looney,looneke01,2023,4890,2283,0.4993973466585128,3.188664807421322,3.688062154079834,3.85164083338519,-0.166882385288975,3.684758448096215,1.243693702726751,2.652139715028325,3.895833417755076,7.698439743969757,6.094441395866881,1.603998348102877,0.1816994105517652,3.066121044856668,3.247820455408433,-1.208677926371392
41,Kyle Lowry,lowryky01,2023,4659,2317,1.014343316641748,0.3646428419816539,1.378986158623402,0.8180896714867739,0.028618841882179,0.846708513368953,1.031706460953832,0.2962509523622587,1.327957413316091,4.847344412164741,3.689429343908218,1.157915068256523,1.158998892501192,0.777019403493491,1.936018295994683,-0.1260653867956088
42,Lauri Markkanen,markkla01,2023,4786,2273,3.563638991417235,0.4836135466163607,4.047252538033596,2.253477549597708,2.822921174593984,5.076398724191691,3.505799108662315,1.025140262137551,4.530939370799866,8.470858982474908,8.470858982474908,0.0,3.308220078400605,0.516684619081394,3.824904697481998,0.3259317945793058
43,Jordan McLaughlin,mclaujo01,2023,1534,692,-0.2072848117401865,-0.8001310404950949,-1.007415852235281,-0.7373582126918368,5.586085101549468,4.848726888857631,-0.3175317831684455,0.4740782326200703,0.1565464494516249,1.015216515568223,1.21052022580346,-0.1953037102352369,-0.933310693743958,-0.1765829919335447,-1.109893685677503,0.2321795186622751
